aX,aY,aZ,gX,gY,gZ
-1.420,1.182,0.984,-115.295,104.858,-418.457
-1.384,1.078,1.000,-151.306,98.633,-437.500
-1.348,1.025,1.034,-177.917,90.210,-455.322
-1.315,0.933,1.064,-193.787,80.872,-466.919
-1.273,0.814,1.065,-202.209,79.163,-477.783
-1.217,0.680,1.019,-203.369,82.886,-491.699
-1.128,0.525,0.942,-196.533,90.149,-506.226
-1.027,0.355,0.833,-181.946,100.403,-517.822
-0.934,0.202,0.719,-162.048,110.657,-524.231
-0.837,0.060,0.613,-137.085,116.211,-522.827
-0.719,-0.083,0.522,-110.474,115.845,-515.442
-0.602,-0.208,0.451,-84.778,111.938,-503.296
-0.478,-0.323,0.382,-64.270,108.215,-484.863
-0.347,-0.418,0.319,-49.561,107.117,-461.121
-0.222,-0.505,0.256,-41.565,105.591,-434.021
-0.114,-0.580,0.196,-39.063,103.210,-403.015
-0.009,-0.648,0.137,-42.358,100.708,-372.498
0.091,-0.709,0.082,-50.110,97.595,-343.994
0.180,-0.766,0.033,-60.303,91.797,-317.566
0.264,-0.829,-0.012,-71.960,83.801,-292.419
0.332,-0.881,-0.042,-85.144,75.134,-267.639
0.388,-0.903,-0.078,-98.267,66.345,-241.272
0.445,-0.911,-0.108,-108.459,56.091,-214.172
0.496,-0.909,-0.125,-112.061,44.128,-187.744
0.533,-0.896,-0.120,-108.215,30.823,-162.659
0.576,-0.884,-0.099,-97.778,16.846,-138.550
0.617,-0.861,-0.053,-83.191,3.723,-114.319
0.626,-0.802,0.004,-64.453,-5.493,-86.853
0.628,-0.704,0.060,-42.725,-9.216,-57.617
0.644,-0.588,0.093,-18.616,-8.118,-30.884
0.677,-0.484,0.094,3.723,-5.615,-10.681
0.717,-0.397,0.098,22.461,-2.075,1.343
0.742,-0.340,0.097,35.889,1.648,7.507
0.768,-0.297,0.096,42.786,6.104,11.047
0.766,-0.257,0.100,41.565,11.047,14.587
0.746,-0.206,0.087,32.593,15.198,18.311
0.750,-0.156,0.049,20.386,18.372,21.057
0.780,-0.120,0.003,9.338,18.311,21.912
0.811,-0.102,-0.022,0.793,13.855,21.240
0.829,-0.099,-0.028,-6.287,6.958,20.081
0.834,-0.106,-0.015,-13.916,-0.183,19.531
0.842,-0.108,0.001,-23.132,-6.226,20.020
0.847,-0.093,0.017,-31.921,-10.681,22.766
0.859,-0.066,0.028,-37.109,-12.512,27.344
0.688,0.521,-0.074,92.773,29.602,138.184
0.652,0.544,-0.112,97.717,30.457,139.893
0.631,0.578,-0.147,102.356,30.701,142.273
0.612,0.616,-0.160,106.140,26.733,146.729
0.571,0.665,-0.151,108.154,18.372,151.733
0.542,0.727,-0.132,107.544,9.827,154.358
0.544,0.778,-0.118,104.675,2.075,154.358
0.540,0.823,-0.107,99.670,-4.089,151.489
0.520,0.860,-0.090,93.384,-8.301,146.057
0.523,0.877,-0.075,84.290,-11.475,139.404
0.429,0.897,-0.067,72.266,-12.390,131.653
0.440,0.893,-0.085,58.105,-12.085,118.896
0.415,0.845,-0.095,40.894,-12.878,104.431
0.327,0.748,-0.139,17.883,-11.597,89.600
0.308,0.584,-0.216,-10.254,-10.742,78.308
0.289,0.418,-0.272,-46.692,-18.555,76.111
0.205,0.281,-0.303,-90.027,-33.142,84.167
0.088,0.134,-0.303,-131.226,-50.171,97.900
0.130,-0.069,-0.255,-158.508,-71.716,114.990
0.136,-0.265,-0.132,-164.490,-95.032,138.672
0.021,-0.423,0.007,-145.874,-104.492,172.668
-0.103,-0.523,0.104,-101.196,-92.407,214.233
-0.245,-0.609,0.145,-37.109,-66.406,257.935
-0.332,-0.691,0.141,29.968,-39.124,298.340
-0.443,-0.755,0.184,86.304,-22.217,334.961
-0.676,-0.737,0.333,122.498,-15.930,368.835
-0.859,-0.551,0.484,140.320,-17.639,406.189
-1.055,-0.307,0.647,152.832,-22.400,450.928
-1.222,-0.073,0.757,166.504,-20.203,485.962
-1.318,0.201,0.781,181.580,-11.475,507.629
-1.391,0.472,0.801,199.097,-3.052,522.522
-1.422,0.673,0.827,217.285,4.761,527.588
-1.461,0.823,0.872,229.980,13.367,516.663
-1.459,0.912,0.899,232.300,21.667,491.821
-1.510,0.959,0.905,223.511,28.687,458.252
-1.546,1.032,0.873,209.534,31.982,425.415
-1.544,1.137,0.854,194.275,23.987,403.625
-1.581,1.251,0.880,176.880,7.019,393.555
-1.620,1.377,0.917,153.931,-4.822,387.817
-1.631,1.500,0.947,126.709,-5.493,376.953
-1.586,1.601,0.914,99.243,2.319,353.271
-1.609,1.673,0.888,79.956,12.146,314.209
-1.578,1.677,0.842,70.984,18.799,262.207
-1.565,1.601,0.812,72.144,24.780,203.796
-1.604,1.464,0.800,77.087,29.358,147.705
-1.654,1.326,0.790,77.454,32.654,106.995
